"TckrSymb","FinInstrmNm"
"FUNDVISER","FUNDVISER CAPITAL (INDIA) LIMI"
"THEMISMED","THEMIS MEDICARE LTD."
"KALLAM","KALLAM TEXTILES LTD"
"FORINTL","FORTUNE INTERNATIONAL LTD."
"KINGSINFR","KINGS INFRA VENTURES LIMITED"
"SWOJAS","SWOJAS FOODS LIMITED"
"AUROLAB","AURO LABORATORIES LTD."
"SUVEN","SUVEN LIFE SCIENCES LTD."
"ARYAMAN","ARYAMAN FINANCIAL SERVICES LTD"
"BRIDGESE","BRIDGE SECURITIES LTD."
"RISAINTL","RISA INTERNATIONAL LTD."
"RAJTUBE","RAJASTHAN TUBE MANUFACTURING C"
"KAYPOWR","KAY POWER AND PAPER LTD."
"INTSTOIL","INTER STATE OIL CARRIER LTD."
"GLOBALCA","GLOBAL CAPITAL MARKETS LTD."
"SAINIK","SAINIK FINANCE & INDUSTRIES LT"
"ARIGATO","ARIGATO UNIVERSE LIMITED"
"RICHUNV","RICH UNIVERSE NETWORK LTD."
"QUANTDIA","QUANTUM DIGITAL VISION (INDIA)"
"SPCAPIT","SP CAPITAL FINANCING LTD."
"KOTHARIPRO","KOTHARI PRODUCTS LTD."
"PICCADIL","PICCADILY AGRO INDUSTRIES LTD."
"CLSEL","CHAMAN LAL SETIA EXPORTS LTD."
"CHANDRAP","CHANDRA PRABHU INTERNATIONAL L"
"KIMIABL","KIMIA BIOSCIENCES LIMITED"
"HINDTIN","HINDUSTAN TIN WORKS LTD."
"GODAVARI","GODAVARI DRUGS LTD."
"PREMCO","PREMCO GLOBAL LTD."
"MUKESHB","MUKESH BABU FINANCIAL SERVICES"
"GENUSPOWER","GENUS POWER INFRASTRUCTURES LT"
"ASIANENE","ASIAN ENERGY SERVICES LTD"
"KBSINDIA","KBS INDIA LIMITED"
"PRABHHANS","PRABHHANS INDUSTRIES LIMITED"
"UGARSUGAR","UGAR SUGAR WORKS LTD."
"ORIENTBELL","ORIENT BELL LIMITED"
"NRBBEARING","NRB BEARINGS LTD."
"VAMSHIRU","VAMSHI RUBBER LTD."
"NILAINFRA","NILA INFRASTRUCTURES LTD."
"DBSTOCKBRO","DB (INTERNATIONAL) STOCK BROKE"
"VINYOFL","VINYOFLEX LTD."
"JINDCAP","JINDAL CAPITAL LTD."
"EPIC","EPIC ENERGY LTD."
"SUMEDHA","SUMEDHA FISCAL SERVICES LTD."
"KUWERIN","KUWER INDUSTRIES LTD."
"CHOKSI","CHOKSI ASIA LIMITED"
"ASHISHPO","ASHISH POLYPLAST LTD."
"SHIVAAGRO","SHIVA GLOBAL AGRO INDUSTRIES L"
"SIDDHA","SIDDHA VENTURES LTD."
"KIRANSY-B","KIRAN SYNTEX LTD."
"SUMERUIND","SUMERU INDUSTRIES LTD."
"RUNGTAIR","RUNGTA IRRIGATION LTD."
"GTTDATA","GTT DATA SOLUTIONS LIMITED"
"VALSONQ","VALSON INDUSTRIES LTD."
"SABOOSOD","SABOO SODIUM CHLORO LTD."
"TINNARUBR","TINNA RUBBER AND INFRASTRUCTUR"
"VIKRAMTH","VIKRAM THERMO (INDIA) LTD."
"STRATMONT","STRATMONT INDUSTRIES LIMITED"
"AKCAPIT","A.K.CAPITAL SERVICES LTD."
"RELAXO","RELAXO FOOTWEARS LTD."
"VIRAT","VIRAT INDUSTRIES LTD."
"RRETAIL","RAJNISH RETAIL LIMITED"
"TERAI","TERAI TEA CO.LTD."
"KENFIN","KEN FINANCIAL SERVICES LTD."
"SHILPAMED","SHILPA MEDICARE LTD."
"PARACABLES","PARAMOUNT COMMUNICATIONS LTD."
"NCLRESE","NCL RESEARCH & FINANCIAL SERVI"
"LADDERUP","LADDERUP FINANCE LTD."
"UYFINCORP","U. Y. FINCORP LIMITED"
"SWASTIKA","SWASTIKA INVESTMART LTD."
"PRIMAPLA","PRIMA PLASTICS LTD."
"TELECANOR","TELECANOR GLOBAL LTD."
"JAGSONSER","JAGSONPAL SERVICES LIMITED"
"GARGFUR","GARG FURNACE LTD."
"SAMPRE","SAMPRE NUTRITIONS LTD."
"AAIL","Akar Auto Industries Limited"
"VIPULORG","Vipul Organics Limited"
"ECORECO","ECO RECYCLING LTD."
"GOODLUCK","Goodluck India Limited"
"GOYALASS","GOYAL ASSOCIATES LTD."
"ZENITHHE","ZENITH HEALTH CARE LTD."
"SUPREME","SUPREME HOLDINGS & HOSPITALITY"
"LYKISLTD","LYKIS LIMITED"
"PRIMEPRO","PRIME PROPERTY DEVELOPMENT COR"
"ZENLABS","Zenlabs Ethica Limited"
"RAJRILTD","RAJ RAYON INDUSTRIES LIMITED"
"ANIRIT","ANIRIT VENTURES LIMITED"
"GOWRALE","GOWRA LEASING & FINANCE LTD."
"JAGANLAM","JAGAN LAMPS LTD."
"ASITCFIN","ASIT C.MEHTA FINANCIAL SERVICE"
"SUPERBAK","SUPER BAKERS (INDIA) LTD."
"OVOBELE","OVOBEL FOODS LTD."
"ACSTECH","ACS TECHNOLOGIES LIMITED"
"CHALLANI","CHALLANI CAPITAL LIMITED"
"STERTOOLS","STERLING TOOLS LTD."
"INLANPR","INLAND PRINTERS LTD."
"CEEJAY","CEEJAY FINANCE LTD."
"SUNCITYSY","SUNCITY SYNTHETICS LTD."
"BHAGERIA","Bhageria Industries Limited"
"OIVL","ONESOURCE INDUSTRIES AND VENTU"
"BNRUDY","BNR UDYOG LTD."
"KRBL","KRBL LTD."
"SSPDL","SSPDL LTD."
"DAIKAFFI","DAIKAFFIL CHEMICALS INDIA LTD."
"CILSEC","CIL SECURITIES LTD."
"CLIOINFO","CLIO INFOTECH LTD."
"CUPID","CUPID LTD."
"SUNSHIEL","SUNSHIELD CHEMICALS LTD."
"HIPOLIN","HIPOLIN LTD."
"GDLLEAS","GDL LEASING & FINANCE LTD."
"CHEMBOND","Chembond Material Technologies"
"CIFL","CAPITAL INDIA FINANCE LIMITED"
"ABVL","Arunjyoti Bio Ventures Limited"
"SUCROSA","SUPER CROP SAFE LTD."
"NGIND","N.G.INDUSTRIES LTD."
"ASIAPAK","ASIA PACK LTD."
"SICAPIT","SI CAPITAL & FINANCIAL SERVICE"
"REMSONSIND","REMSONS INDUSTRIES LTD."
"RAMSONS","RAMSONS PROJECTS LTD."
"AQYLON","Aqylon Nexus Limited"
"RAMINFO","RAMINFO LIMITED"
"SUNILAGR","SUNIL AGRO FOODS LTD."
"DIANATEA","DIANA TEA CO.LTD."
"VIKASECO","Vikas EcoTech Limited"
"IOC","INDIAN OIL CORPORATION LTD."
"ALFAICA","ALFA ICA (INDIA) LTD."
"SKCIL","Shri Keshav Cements and Infra"
"INDIAHOME","INDIA HOME LOAN LTD."
"ROOPAIND","ROOPA INDUSTRIES LTD."
"SARTHAKGL","SARTHAK GLOBAL LTD."
"UNIQUEO","UNIQUE ORGANICS LTD."
"BALAMINES","BALAJI AMINES LTD."
"SWRNASE","SWARNA SECURITIES LTD."
"VENMAX","VENMAX DRUGS AND PHARMACEUTICA"
"ARISE","ARIHANTS SECURITIES LTD."
"VISAGAR","VISAGAR FINANCIAL SERVICES LTD"
"REGAL","REGAL ENTERTAINMENT & CONSULTA"
"EBIX","ERAAYA LIFESPACES LIMITED"
"SWADHATURE","Swadha Nature Limited"
"COMPEAU","COMPETENT AUTOMOBILES CO.LTD."
"NEELKAN","NEELKANTH ROCKMINERALS LTD."
"CONTILI","CONTIL INDIA LTD."
"VIJSOLX","VIJAY SOLVEX LTD."
"SHRIKRISH","SHRI KRISHNA DEVCON LTD."
"ALANKIT","ALANKIT"
"NIHARINF","NIHAR INFO GLOBAL LTD."
"OMINFRAL","OM INFRA LIMITED"
"CENTUPLE","CENTUPLE GLOBAL LIMITED"
"ISHANCH","Ishan Dyes and Chemicals Limit"
"GOTHIPL","GOTHI PLASCON (INDIA) LTD."
"BALUFORGE","BALU FORGE INDUSTRIES LIMITED"
"CEENIK","CEENIK EXPORTS (INDIA) LTD."
"PATELENG","PATEL ENGINEERING LTD."
"KATIPATANG","KATI PATANG LIFESTYLE LIMITED"
"INANI","INANI MARBLES & INDUSTRIES LTD"
"GEMSI","GEMSTONE INVESTMENTS LTD."
"ELFORGE","EL FORGE LTD."
"MEDICAMEQ","MEDICAMEN BIOTECH LTD."
"ALICON","ALICON CASTALLOY LIMITED"
"DILIGENT","DILIGENT INDUSTRIES LTD."
"ALFAVIO","ALFAVISION OVERSEAS (INDIA) LT"
"ORGCOAT","ORGANIC COATINGS LTD."
"CATVISION","CATVISION  LIMITED"
"ABMKNO","ABM KNOWLEDGEWARE LTD."
"EMAMILTD","EMAMI LTD."
"KEMISTAR","KEMISTAR CORPORATION LIMITED"
"SKPSEC","SKP SECURITIES LTD."
"SYSCHEM","SYSCHEM (INDIA) LTD."
"MEFCOMCAP","MEFCOM CAPITAL MARKETS LTD."
"HEMANG","HEMANG RESOURCES LIMITED"
"ARMANFIN","ARMAN FINANCIAL SERVICES LTD."
"EFORU","EFORU ENTERTAINMENT LIMITED"
"GLANCE","GLANCE FINANCE LTD."
"SHILCTECH","SHILCHAR TECHNOLOGIES LTD."
"SPRIGHT","SPRIGHT AGRO LIMITED"
"NUCLEUS","NUCLEUS SOFTWARE EXPORTS LTD."
"COLINZ","COLINZ LABORATORIES LTD."
"NLFL","NALIN LEASE FINANCE LTD."
"MANAPPURAM","Manappuram Finance Ltd"
"RTSPOWR","RTS POWER CORPORATION LTD."
"COMFINTE","COMFORT INTECH LTD."
"SHYAMACOMP","Shyama Computronics and Servic"
"ANJANI","ANJANI SYNTHETICS LTD."
"XTGLOBAL","XTGLOBAL INFOTECH LIMITED"
"DECOMIC","DECO-MICA LTD."
"RANDER","RANDER CORPORATION LTD."
"RASIELEC","RASI ELECTRODES LTD."
"SCOOBEEDAY","SCOOBEE DAY GARMENTS (INDIA) L"
"CITIPOR","CITIPORT FINANCIAL SERVICES LT"
"DHRUVCA","DHRUVA CAPITAL SERVICES LTD."
"LINC","LINC LIMITED"
"PRIMAIN","PRIMA INDUSTRIES LTD."
"INDGELA","INDIA GELATINE & CHEMICALS LTD"
"OPTIFIN","Optimus Finance Limited"
"PARAGONF","PARAGON FINANCE LTD."
"PRATIKSH","PRATIKSHA CHEMICALS LTD."
"VSTTILLERS","V.S.T.TILLERS TRACTORS LTD."
"B2BSOFT","B2B SOFTWARE TECHNOLOGIES LTD."
"RADHEDE","RADHE DEVELOPERS (INDIA) LTD."
"KINETRU","KINETIC TRUST LTD."
"ELIXIR","Elixir Capital Limited"
"TRISHAKT","Trishakti Industries Limited"
"PANKAJPO","PANKAJ POLYMERS LTD."
"MARBLE","MARBLE CITY INDIA LIMITED"
"NATPLASTI","NATIONAL PLASTIC TECHNOLOGIES"
"LEADFIN","LEAD FINANCIAL SERVICES LTD."
"NATFIT","NATIONAL FITTINGS LIMITED"
"ARTEFACT","ARTEFACT PROJECTS LTD."
"TUSALDAH","TUSALDAH LIMITED"
"NUTECGLOB","NUTECH GLOBAL LTD."
"DHPIND","DHP INDIA LTD."
"RRIL","RRIL LIMITED"
"AVAILFC","AVAILABLE FINANCE LTD."
"MGIL","MARUTI GLOBAL INDUSTRIES LIMIT"
"HAVISHA","SRI HAVISHA HOSPITALITY INFRAS"
"KRETTOSYS","KRETTO SYSCON LIMITED"
"ZYDUSWELL","ZYDUS WELLNESS LTD."
"BERVINL","BERVIN INVESTMENT & LEASING LT"
"GUJINV","GUJARAT INVESTA LTD."
"CONCOR","CONTAINER CORPORATION OF INDIA"
"EASTRED","EASTERN TREADS LTD."
"PANACEABIO","PANACEA BIOTEC LTD."
"MERCURYEV","MERCURY EV-TECH LIMITED"
"CHOICEIN","CHOICE INTERNATIONAL LTD."
"SRAMSET","SHRIRAM ASSET MANAGEMENT CO.LT"
"EKANSH","Ekansh Concepts Limited"
"SPAR","SPARC ELECTREX LIMITED"
"BYKE","THE BYKE HOSPITALITY LTD."
"CSURGSU","CENTENIAL SURGICAL SUTURE LTD."
"ARIHANT","ARIHANT FOUNDATIONS & HOUSING"
"HASTIFIN","HASTI FINANCE LTD."
"UPSURGE","UPSURGE INVESTMENT & FINANCE L"
"PADAMCO","PADAM COTTON YARNS LTD."
"SOURCENTRL","SOURCE NATURAL FOODS & HERBAL"
"GGAUTO","G.G.AUTOMOTIVE GEARS LTD."
"ALMONDZ","ALMONDZ GLOBAL SECURITIES LTD."
"TUNITEX","TUNI TEXTILE MILLS LTD."
"RADIXIND","RADIX INDUSTRIES (INDIA) LIMIT"
"NARPROP","NARENDRA PROPERTIES LTD."
"MEGACOR","MEGA CORPORATION LTD."
"BMBMUMG","BMB MUSIC & MAGNETICS LTD."
"TNPL","TAMIL NADU NEWSPRINT & PAPERS"
"SHAKTIPUMP","SHAKTI PUMPS (INDIA) LTD."
"SAFFRON","SAFFRON INDUSTRIES LIMITED"
"PWASML","Prakash Woollen & Synthetic Mi"
"GOLDTECH","AION-TECH SOLUTIONS LIMITED"
"LYONSCO","LYONS CORPORATE MARKET LTD."
"GRMOVER","GRM OVERSEAS LTD."
"MOHITIND","MOHIT INDUSTRIES LTD."
"POLYLINK","POLYLINK POLYMERS (INDIA) LTD."
"MINAXI","MINAXI TEXTILES LTD."
"BOSTON","BOSTON COMMERCE LIMITED"
"CONTICON","CONTINENTAL CONTROLS LTD."
"GBLINFRA","GLOBAL INFRATECH & FINANCE LIM"
"NOUVEAU","NOUVEAU GLOBAL VENTURES LTD."
"DUKEOFS","DUKE OFFSHORE LTD."
"CYBELEIND","CYBELE INDUSTRIES LTD."
"FILME","FILMCITY MEDIA LTD."
"CGVAK","CG-VAK SOFTWARE & EXPORTS LTD."
"NAVKARURB","NAVKAR URBANSTRUCTURE LIMITED"
"MADHUCON","MADHUCON PROJECTS LTD."
"SYBLY","SYBLY INDUSTRIES LTD."
"RAJESHEXPO","RAJESH EXPORTS LTD."
"ESARIND","ESAAR (INDIA) LTD."
"MARIS","MARIS SPINNERS LTD."
"INDERGR","INDERGIRI FINANCE LTD."
"EVEREADY","EVEREADY INDUSTRIES INDIA LTD."
"ORIENTTR","ORIENT TRADELINK LTD."
"VIKASPROP","VIKAS PROPPANT & GRANITE LTD."
"ACESOFT","ACE SOFTWARE EXPORTS LTD."
"SOFTRAKV","SOFTRAK VENTURE INVESTMENT LTD"
"HATSUN","HATSUN AGRO PRODUCT LTD."
"ACCEDERE","ACCEDERE LIMITED"
"MIZVEN","MIZZEN VENTURES LIMITED"
"MAINFRA","MARUTI INFRASTRUCTURE LTD."
"KOBO","KOBO BIOTECH LIMITED"
"JINDWORLD","JINDAL WORLDWIDE LTD."
"SOMANYCERA","SOMANY CERAMICS LTD."
"JHACC","JHAVERI CREDITS & CAPITAL LTD."
"RAGHUTOB","RAGHUNATH TOBACCO CO.LTD."
"DRL","DISHA RESOURCES LIMITED"
"CORALFINAC","CORAL INDIA FINANCE & HOUSING"
"AMITSEC","AMIT SECURITIES LTD."
"ASHUTPM","ASHUTOSH PAPER MILLS LTD."
"SANJIVIN","SANJIVANI PARANTERAL LTD."
"RANJITSE","RANJIT SECURITIES LTD."
"KMFBLDR","KMF BUILDERS & DEVELOPERS LTD."
"RAP","RAP CORP LIMITED"
"BAMPSL","BAMPSL SECURITIES LTD."
"GENPHARMA","GENPHARMASEC LIMITED"
"CGCL","CAPRI GLOBAL CAPITAL LIMITED"
"FDC","FDC LTD."
"GOGIACAPGL","GOGIA CAPITAL GROWTH LIMITED"
"GORANIN","GORANI INDUSTRIES LTD."
"KGPETRO","KG PETROCHEM LTD."
"MAL","Meyer Apparel Limited"
"STARCOM","STARCOM INFORMATION TECHNOLOGY"
"COUNCODOS","COUNTRY CONDOS LTD."
"OROSMITHS","OROSIL SMITHS INDIA LTD."
"TEJASSVI","TEJASSVI AAHARAM LIMITED"
"LINCOLN","LINCOLN PHARMACEUTICALS LTD."
"SILVOAK","SILVER OAK (INDIA) LTD."
"PRAVEG","PRAVEG LIMITED"
"SURAJLTD","SURAJ LTD."
"MARICO","MARICO LTD."
"TOKYOFIN","TOKYO FINANCE LTD."
"UVS","UVS HOSPITALITY AND SERVICES L"
"ABATEAS","ABATE AS INDUSTRIES LIMITED"
"HITTCO","HITTCO TOOLS LTD."
"YUVRAAJHPL","YUVRAAJ HYGIENE PRODUCTS LTD."
"RRMETAL","RR METALMAKERS INDIA LIMITED"
"VISIONCO","VISION CORPORATION LTD."
"KARNAWATI","Karnawati Innovation Limited"
"INANISEC","INANI SECURITIES LTD."
"ANKIN","ANKA INDIA LTD."
"EMROCK","EMROCK CORPORATION LIMITED"
"MAYUR","MAYUR LEATHER PRODUCTS LTD."
"AMERISE","AMERISE BIOSCIENCES LIMITED"
"FRONTFN","FRONTLINE FINANCIAL SERVICES L"
"PRITHVIEXCH","Prithvi Exchange (India) Limit"
"KHYATI","KHYATI MULTIMEDIA-ENTERTAINMEN"
"RAINBOWF","RAINBOW FOUNDATIONS LTD."
"TRICOMFRU","TRICOM FRUIT PRODUCTS LIMITED"
"VIDHIING","Vidhi Specialty Food Ingredien"
"BHAGCHEM","BHAGIRADHA CHEMICALS & INDUSTR"
"GATECH","GACM Technologies Limited"
"PANCHSHEEL","PANCHSHEEL ORGANICS LTD."
"MENNPIS","MENON PISTONS LTD."
"GREENCREST","GREENCREST FINANCIAL SERVICES"
"GENNEX","GENNEX LABORATORIES LTD."
"GINISILK","GINI SILK MILLS LTD."
"PRAENG","PRAJAY ENGINEERS SYNDICATE LTD"
"BIOGEN","BIOGEN PHARMACHEM INDUSTRIES L"
"GKCONS","G.K.CONSULTANTS LTD."
"APOLLOPIPE","APOLLO PIPES LIMITED"
"UNJHAFOR","UNJHA FORMULATIONS LTD."
"POLYMED","POLY MEDICURE LTD."
"PFLINFOTC","PFL INFOTECH LTD."
"SHRADDHA","SHRADDHA PRIME PROJECTS LTD"
"KACHCHH","KACHCHH MINERALS LTD."
"PADALPO","PADMANABH ALLOYS & POLYMERS LT"
"KACL","KAISER CORPORATION LIMITED"
"KCLINFRA","KCL Infra Projects Limited"
"ATULAUTO","ATUL AUTO LTD."
"SCANPRO","SCAN PROJECTS LTD."
"PRERINFRA","PRERNA INFRABUILD LTD."
"METALCO","METAL COATINGS (INDIA) LTD."
"SGNTE","SGN TELECOMS LTD."
"GANGAPA","GANGA PAPERS INDIA LTD."
"TIRSARJ","TIRUPATI SARJAN LTD."
"RODIUM","RODIUM REALTY LIMITED"
"NATHUEC","NATURA HUE CHEM LTD."
"IECEDU","IEC EDUCATION LTD."
"INDUSFINL","Indus Finance Limited"
"LAHOTIOV","LAHOTI OVERSEAS LTD."
"ZENITHSTL","ZENITH STEEL PIPES AND  INDUST"
"TRINITYLEA","TRINITY LEAGUE INDIA LTD."
"ASTAR","ASIAN STAR CO.LTD."
"ORIRAIL","ORIENTAL RAIL INFRASTRUCTURE L"
"JOINDRE","JOINDRE CAPITAL SERVICES LTD."
"BHARATAGRI","BHARAT AGRI FERT & REALTY LTD."
"UNITINT","UNITECH INTERNATIONAL LTD."
"SACHEMT","SACHETA METALS LTD."
"ANJANIFIN","ANJANI FINANCE LTD."
"REXNORD","REXNORD ELECTRONICS & CONTROLS"
"NWIL","NURTURE WELL INDUSTRIES LIMITE"
"KHANDSE","KHANDWALA SECURITIES LTD."
"SAWACA","SAWACA ENTERPRISES LIMITED"
"CCLINTER","CCL INTERNATIONAL LTD."
"GALLOPENT","GALLOPS ENTERPRISE LTD."
"CROISSANCE","CROISSANCE LIMITED"
"JOJO","JOJO LIMITED"
"GALAGEX","GALAXY AGRICO EXPORTS LTD."
"HINDAPL","HINDUSTAN APPLIANCES LTD."
"AGARIND","AGARWAL INDUSTRIAL CORPORATION"
"DHAMPURE","DHAMPURE SPECIALITY SUGARS LTD"
"SHAQUAK","SHANTANU SHEOREY AQUAKULT LTD."
"SARTHAKIND","SARTHAK INDUSTRIES LTD."
"SAICAPI","SAI CAPITAL LTD."
"BLUECHIP","BLUE CHIP INDIA LTD."
"LEXORAA","LEXORAA INDUSTRIES LIMITED"
"VERTEX","VERTEX SECURITIES LTD."
"RIBATEX","RIBA TEXTILES LTD."
"NEWINFRA","NEWTIME INFRASTRUCTURE LIMITED"
"SHREMETAL","SHREE METALLOYS LTD."
"IITLPROJ","IITL PROJECTS LIMITED"
"POPEES","POPEES BABY CARE INDIA LIMITED"
"CHLOGIST","CHARTERED LOGISTICS LTD."
"AMBIKCO","AMBIKA COTTON MILLS LTD."
"HINDALUMI","HIND ALUMINIUM INDUSTRIES LTD."
"SPECFOOD","SPECTRUM FOODS LTD."
"AMRAAGRI","AMRAWORLD AGRICO LTD."
"ODYCORP","ODYSSEY CORPORATION LTD."
"IKOMA","IKOMA TECHNOLOGIES LIMITED"
"INDCTST","INDUCTO STEEL LTD."
"SAMINDUS","SAM INDUSTRIES LTD."
"SHVFL","SHREEVATSAA FINANCE & LEASING"
"POOJAENT","VASHU BHAGNANI INDUSTRIES LIMI"
"GRAVITY","GRAVITY (INDIA) LTD."
"ESPIRE","ESPIRE HOSPITALITY LIMITED"
"FILATFASH","FILATEX FASHIONS LTD."
"SINDHUTRAD","SINDHU TRADE LINKS LIMITED"
"ZENOTECH","ZENOTECH LABORATORIES LTD."
"HINDBIO","HINDUSTAN BIO SCIENCES LTD."
"FRONTCORP","FRONTLINE CORPORATION LTD."
"SWELECTES","SWELECT ENERGY SYSTEMS LIMITED"
"WALLFORT","WALLFORT FINANCIAL SERVICES LT"
"KDDL","KDDL LTD."
"TRUSTEDGE","Trustedge Capital Limited"
"ABHICAP","ABHINAV CAPITAL SERVICES LTD."
"3BBLACKBIO","3B BlackBio Dx Limited"
"GUJJUBHAI","GUJJUBHAI INDUSTRIES LIMITED"
"ATVOENT","Atvo Enterprises Limited"
"EPUJA","EPUJA SPIRITECH LIMITED"
"INDOCITY","INDO-CITY INFOTECH LTD."
"SBECSUG","SBEC SUGAR LTD."
"BRIJLEAS","BRIJLAXMI LEASING & FINANCE LT"
"BSELALGO","BSEL ALGO LIMITED"
"RELIABVEN","RELIABLE VENTURES INDIA LTD."
"TRIUMPIN","TRIUMPH INTERNATIONAL FINANCE"
"BANKBARODA","BANK OF BARODA"
"MOHITE","MOHITE INDUSTRIES LIMITED"
"ACL","ANDHRA CEMENTS LTD."
"SKMEGGPROD","SKM EGG PRODUCTS EXPORT (INDIA"
"WELCORP","WELSPUN CORP LIMITED"
"HOTLSILV","H.S.INDIA LTD."
"BANKINDIA","BANK OF INDIA"
"INDRAMEDCO","INDRAPRASTHA MEDICAL CORP.LTD."
"JOHNPHARMA","JOHNSON PHARMACARE LIMITED"
"GAIL","GAIL (INDIA) LTD."
"VAIBHAVGBL","VAIBHAV GLOBAL LTD"
"TRESCON","TRESCON LIMITED"
"GUJSTATFIN","GUJARAT STATE FINANCIAL CORPOR"
"JKPAPER","JK PAPER LTD."
"SAREGAMA","SAREGAMA INDIA LTD."
"OMKARPH","OMKAR PHARMACHEM LTD."
"ADROITINFO","Adroit Infotech Limited"
"CYBERTECH","CYBERTECH SYSTEMS AND SOFTWARE"
"ICICIBANK","ICICI BANK LTD."
"CYIENT","CYIENT LIMITED"
"ENGINERSIN","ENGINEERS INDIA LTD."
"DHANBANK","DHANLAXMI BANK LIMITED"
"GMDCLTD","GUJARAT MINERAL DEVELOPMENT CO"
"GAYATRI","GAYATRI SUGARS LTD."
"INDUSINDBK","INDUSIND BANK LTD."
"ITDC","INDIA TOURISM DEVELOPMENT CORP"
"J&KBANK","JAMMU & KASHMIR BANK LTD."
"CUB","CITY UNION BANK LTD."
"ARCHIES","ARCHIES LTD."
"AXISBANK","AXIS BANK LTD."
"HBSL","HB STOCKHOLDINGS LTD."
"CMXLTD","CMX HOLDINGS LIMITED"
"SOUTHBANK","SOUTH INDIAN BANK LTD."
"ENERGYDEV","ENERGY DEVELOPMENT COMPANY LTD"
"SONATSOFTW","SONATA SOFTWARE LTD."
"BENGALT","BENGAL TEA & FABRICS LTD."
"NATIONALUM","NATIONAL ALUMINIUM CO.LTD."
"INDNIPPON","INDIA NIPPON ELECTRICALS LTD."
"NSIL","NALWA SONS INVESTMENTS LTD."
"APARINDS","APAR INDUSTRIES LTD."
"TCIIND","TCI INDUSTRIES LTD."
"ACCELYA","ACCELYA SOLUTIONS INDIA LIMITE"
"ORCHASP","ORCHASP LIMITED"
"LANDMARC","LANDMARC LEISURE CORPORATION L"
"HCLTECH","HCL TECHNOLOGIES LTD."
"TCFCFINQ","TCFC FINANCE LTD."
"GEOJITFSL","Geojit Financial Services Limi"
"JINDALSTEL","JINDAL STEEL LIMITED"
"BLBLIMITED","BLB LTD."
"GLENMARK","GLENMARK PHARMACEUTICALS LTD."
"WOCKPHARMA","WOCKHARDT LTD."
"INTEGHIT","INTEGRATED HITECH LTD."
"KJMCCORP","KJMC CORPORATE ADVISORS (INDIA"
"INDSWFTLAB","IND-SWIFT LABORATORIES LTD."
"GVPIL","GE Power India Ltd"
"SHREERAMA","SHREE RAMA MULTI-TECH LTD."
"MAHLIFE","MAHINDRA LIFESPACE DEVELOPERS"
"GROARC","GROARC INDUSTRIES INDIA LIMITE"
"VAARAD","VAARAD VENTURES LTD"
"ZYDUSLIFE","Zydus Lifesciences Limited"
"SHIVACEM","SHIVA CEMENT LTD."
"CINEVISTA","CINEVISTA LTD."
"INTENTECH","INTENSE TECHNOLOGIES LTD."
"DANLAW","DANLAW TECHNOLOGIES INDIA LTD."
"AJANTPHARM","AJANTA PHARMA LTD."
"HBPOR","HB PORTFOLIO LTD."
"HBESD","HB ESTATE DEVELOPERS LTD."
"AMBICAAGAR","AMBICA AGARBATHIES & AROMA IND"
"COMPUSOFT","COMPUCOM SOFTWARE LTD."
"OMNIAX","OMNI AXS SOFTWARE LTD."
"IZMO","IZMO Limited"
"TVSMOTOR","TVS MOTOR COMPANY LTD."
"MADALA","MADALA HOLDINGS LIMITED"
"SUBEXLTD","SUBEX LTD."
"TCI","TRANSPORT CORPORATION OF INDIA"
"PADMALAYAT","PADMALAYA TELEFILMS LTD."
"AKSHOPTFBR","AKSH OPTIFIBRE LTD."
"VIRGOGLOB","Virgo Global Limited"
"PICTUREHS","PICTUREHOUSE MEDIA LTD."
"TRIVENI","TRIVENI ENGINEERING & INDUSTRI"
"HITKITGLO","HIT KIT GLOBAL SOLUTIONS LTD."
"NAGPI","NAGPUR POWER & INDUSTRIES LTD."
"DSSL","DYNACONS SYSTEMS & SOLUTIONS L"
"PNBGILTS","PNB GILTS LTD."
"BCG","BRIGHTCOM GROUP LIMITED"
"RAMCOIND","RAMCO INDUSTRIES LTD."
"RAMCOSYS","RAMCO SYSTEMS LTD."
"TTML","TATA TELESERVICES (MAHARASHTRA"
"VIRINCHI","Virinchi Limited"
"WEPSOLN","WEP SOLUTIONS LTD."
"STLTECH","STERLITE TECHNOLOGIES LTD."
"TIPSMUSIC","TIPS MUSIC LIMITED"
"UMIYA-MRO","UMIYA BUILDCON LIMITED"
"UNIVARTS","UNIVERSAL ARTS LTD."
"FIRSTFIN","FIRST FINTEC LIMITED"
"BABA","BABA ARTS LTD."
"BALAJITELE","BALAJI TELEFILMS LTD."
"TYCHE","TYCHE INDUSTRIES LTD."
"CALSOFT","CALIFORNIA SOFTWARE CO.LTD."
"PNC","PRITISH NANDY COMMUNICATIONS L"
"IOB","INDIAN OVERSEAS BANK"
"TAJGVK","TAJGVK HOTELS & RESORTS LTD."
"CREATIVEYE","CREATIVE EYE LTD."
"AXISCADES","AXISCADES TECHNOLOGIES LIMITED"
"KONNDOR","KONNDOR INDUSTRIES LIMITED"
"UMESLTD","USHA MARTIN EDUCATION & SOLUTI"
"BSOFT","BIRLASOFT LIMITED"
"USGTECH","USG TECH SOLUTIONS LTD."
"7TEC","SAVEN TECHNOLOGIES LTD."
"AVANTEL","AVANTEL LTD."
