bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,Cipla Limited,05-Jun-2026,2,-,INE059A01026,-,-,05-Jun-2026,EQ,Dividend - Rs 13 Per Share,CIPLA
-,-,,E2E Networks Limited,05-Jun-2026,1,-,INE255Z01019,-,-,05-Jun-2026,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,E2E
-,-,,HDFC Asset Management Company Limited,05-Jun-2026,5,-,INE127D01025,-,-,05-Jun-2026,EQ,Dividend - Rs 54 Per Share,HDFCAMC
-,-,,ICICI Prudential Life Insurance Company Limited,05-Jun-2026,10,-,INE726G01019,-,-,05-Jun-2026,EQ,Dividend - Rs 1.65 Per Share,ICICIPRULI
-,-,,Jagran Prakashan Limited,05-Jun-2026,2,-,INE199G01027,-,-,05-Jun-2026,EQ,Interim Dividend - Rs 7 Per Share & Special Dividend Rs 3 Per Share,JAGRAN
-,-,,Spacenet Enterprises India Limited,05-Jun-2026,1,-,INE970N01027,-,-,05-Jun-2026,EQ,Interim Dividend - Rs. 0.01 Per Sh,SPCENET
-,-,,JSW Energy Limited,05-Jun-2026,10,-,INE121E01018,-,-,05-Jun-2026,EQ,Dividend - Rs 2 Per Share,JSWENERGY
-,-,,Bank of Maharashtra,05-Jun-2026,10,-,INE457A01014,-,-,05-Jun-2026,EQ,Dividend - Rs 1.20 Per Sh,MAHABANK
-,-,,Archean Chemical Industries Limited,05-Jun-2026,2,-,INE128X01021,-,-,05-Jun-2026,EQ,Dividend - Rs 2.50 Per Share,ACI
-,-,,Ravindra Energy Limited,08-Jun-2026,10,-,INE206N01018,-,-,08-Jun-2026,EQ,Rights 1:9 @ Premium 91,RELTD
-,-,,NELCO Limited,09-Jun-2026,10,-,INE045B01015,-,-,09-Jun-2026,EQ,Dividend - Rs 1 Per Share,NELCO
-,-,,INOX India Limited,09-Jun-2026,2,-,INE616N01034,-,-,09-Jun-2026,EQ,Dividend - Rs 2 Per Share,INOXINDIA
-,-,,Seshasayee Paper and Boards Limited,10-Jun-2026,2,-,INE630A01016,-,-,10-Jun-2026,EQ,Dividend - Rs 2 Per Share,SESHAPAPER
-,-,,Indian Bank,10-Jun-2026,10,-,INE562A01011,-,-,10-Jun-2026,EQ,Dividend - Rs 18.25 Per Share,INDIANB
-,-,,Tata Investment Corporation Limited,10-Jun-2026,1,-,INE672A01018,-,-,10-Jun-2026,EQ,Dividend - Rs 3.40 Per Share,TATAINVEST
-,-,,Tata Chemicals Limited,10-Jun-2026,10,-,INE092A01019,-,-,10-Jun-2026,EQ,Dividend - Rs 11 Per Share,TATACHEM
-,-,,Tata Elxsi Limited,10-Jun-2026,10,-,INE670A01012,-,-,10-Jun-2026,EQ,Dividend - Rs 75 Per Share,TATAELXSI
-,-,,Infosys Limited,10-Jun-2026,5,-,INE009A01021,-,-,10-Jun-2026,EQ,Dividend - Rs 25 Per Share,INFY
-,-,,ACC Limited,12-Jun-2026,10,-,INE012A01025,-,-,12-Jun-2026,EQ,Dividend - Rs 7.50 Per Share,ACC
-,-,,Voltas Limited,12-Jun-2026,1,-,INE226A01021,-,-,12-Jun-2026,EQ,Dividend - Rs 4 Per Share,VOLTAS
-,-,,Adani Ports and Special Economic Zone Limited,12-Jun-2026,2,-,INE742F01042,-,-,12-Jun-2026,EQ,Dividend - Rs 7.50 Per Share,ADANIPORTS
-,-,,Ambuja Cements Limited,12-Jun-2026,2,-,INE079A01024,-,-,12-Jun-2026,EQ,Dividend - Rs 2 Per Share,AMBUJACEM
-,-,,Apcotex Industries Limited,12-Jun-2026,2,-,INE116A01016,-,-,12-Jun-2026,EQ,Dividend - Rs 5.50 Per Share,APCOTEXIND
-,-,,Adani Total Gas Limited,12-Jun-2026,1,-,INE399L01023,-,-,12-Jun-2026,EQ,Dividend - Rs 0.25 Per Share,ATGL
-,-,,Avantel Limited,12-Jun-2026,2,-,INE005B01027,-,-,12-Jun-2026,EQ,Dividend - Rs 0.20 Per Share,AVANTEL
-,-,,Orient Cement Limited,12-Jun-2026,1,-,INE876N01018,-,-,12-Jun-2026,EQ,Dividend - Rs 0.50 Per Share,ORIENTCEM
-,-,,Petronet LNG Limited,12-Jun-2026,10,-,INE347G01014,-,-,12-Jun-2026,EQ,Dividend - Rs 3 Per Share,PETRONET
-,-,,Piramal Finance Limited,12-Jun-2026,2,-,INE202B01038,-,-,12-Jun-2026,EQ,Dividend - Rs 11 Per Share,PIRAMALFIN
-,-,,Punjab National Bank,12-Jun-2026,2,-,INE160A01014,-,-,13-Jun-2026,EQ,Dividend - Rs 3 Per Share,PNB
-,-,,Reliance Industrial Infrastructure Limited,12-Jun-2026,10,-,INE046A01015,-,-,12-Jun-2026,EQ,Dividend - Rs 3.50 Per Share,RIIL
-,-,,Canara Bank,12-Jun-2026,2,-,INE476A01014,-,-,12-Jun-2026,EQ,Dividend - Rs 4.20 Per Share,CANBK
-,-,,Cemindia Projects Limited,12-Jun-2026,1,-,INE686A01026,-,-,12-Jun-2026,EQ,Dividend - Rs 3 Per Share,CEMPRO
-,-,,City Union Bank Limited,12-Jun-2026,1,-,INE491A01021,-,-,12-Jun-2026,EQ,Bonus 1:3,CUB
-,-,,DCB Bank Limited,12-Jun-2026,10,-,INE503A01015,-,-,12-Jun-2026,EQ,Dividend - Rs 1.45 Per Share,DCBBANK
-,-,,Eimco Elecon (India) Limited,12-Jun-2026,10,-,INE158B01016,-,-,12-Jun-2026,EQ,Dividend - Rs 4 Per Share,EIMCOELECO
-,-,,Elecon Engineering Company Limited,12-Jun-2026,1,-,INE205B01023,-,-,12-Jun-2026,EQ,Dividend - Rs 1.5 Per Share,ELECON
-,-,,ICICI Prudential Asset Management Company Limited,12-Jun-2026,1,-,INE346A01027,-,-,12-Jun-2026,EQ,Dividend - Rs 12.40 Per Share,ICICIAMC
-,-,,JM Financial Limited,12-Jun-2026,1,-,INE780C01023,-,-,12-Jun-2026,EQ,Dividend - Rs 1.75 Per Share,JMFINANCIL
-,-,,Tata Steel Limited,12-Jun-2026,1,-,INE081A01012,-,-,12-Jun-2026,EQ,Dividend - Rs 4 Per Share,TATASTEEL
-,-,,Lloyds Metals And Energy Limited,12-Jun-2026,1,-,INE281B01032,-,-,12-Jun-2026,EQ,Dividend - Rs 1 Per Share,LLOYDSME
-,-,,Tamilnad Mercantile Bank Limited,12-Jun-2026,10,-,INE668A01016,-,-,12-Jun-2026,EQ,Dividend - Rs 12.50 Per Share,TMB
-,-,,Tata Motors Limited,12-Jun-2026,2,-,INE1TAE01010,-,-,12-Jun-2026,EQ,Dividend - Rs 4 Per Share,TMCV
-,-,,Trent Limited,12-Jun-2026,1,-,INE849A01012,-,-,12-Jun-2026,EQ,Dividend - Rs 6 Per Share,TRENT
-,-,,MM Forgings Limited,12-Jun-2026,10,-,INE227C01017,-,-,12-Jun-2026,EQ,Interim Dividend - Rs 4 Per Share,MMFL
-,-,,Navin Fluorine International Limited,12-Jun-2026,2,-,INE048G01018,-,-,12-Jun-2026,EQ,Dividend - Rs 8.60 Per Share,NAVINFLUOR
-,-,,Adani Enterprises Limited,12-Jun-2026,1,-,INE423A01024,-,-,12-Jun-2026,EQ,Dividend - Rs 1.30 Per Share,ADANIENT
-,-,,SMC Global Securities Limited,15-Jun-2026,2,-,INE103C01036,-,-,15-Jun-2026,EQ,Dividend - Re 0.60 Per Share,SMCGLOBAL
-,-,,R R Kabel Limited,16-Jun-2026,5,-,INE777K01022,-,-,16-Jun-2026,EQ,Dividend - Rs 5.50 Per Share,RRKABEL
-,-,,eMudhra Limited,18-Jun-2026,5,-,INE01QM01018,-,-,18-Jun-2026,EQ,Dividend - Rs1.25 Per Share,EMUDHRA
-,-,,GHCL Limited,18-Jun-2026,10,-,INE539A01019,-,-,18-Jun-2026,EQ,Dividend - Rs 12 Per Share,GHCL
-,-,,HDB Financial Services Limited,18-Jun-2026,10,-,INE756I01012,-,-,18-Jun-2026,EQ,Dividend - Rs 2 Per Share,HDBFS
-,-,,Tata Technologies Limited,18-Jun-2026,2,-,INE142M01025,-,-,18-Jun-2026,EQ,Dividend - Rs 8.35 Per Share & Special Dividend - Rs 3.35 Per Share,TATATECH
-,-,,Vimta Labs Limited,18-Jun-2026,2,-,INE579C01029,-,-,18-Jun-2026,EQ,Dividend - Rs 2 Per Share,VIMTALABS
-,-,,Raghav Productivity Enhancers Limited,19-Jun-2026,10,-,INE912T01018,-,-,19-Jun-2026,EQ,Dividend - Re 1 Per Share,RPEL
-,-,,Tata Motors Passenger Vehicles Limited,19-Jun-2026,2,-,INE155A01022,-,-,19-Jun-2026,EQ,Dividend - Rs 3 Per Share,TMPV
-,-,,HDFC Life Insurance Company Limited,19-Jun-2026,10,-,INE795G01014,-,-,19-Jun-2026,EQ,Dividend - Rs 2.10 Per Share,HDFCLIFE
-,-,,Indiamart Intermesh Limited,19-Jun-2026,10,-,INE933S01016,-,-,19-Jun-2026,EQ,Dividend - Rs 30 Per Share/ Special Dividend - Rs 30 Per Share,INDIAMART
-,-,,AWL Agri Business Limited,19-Jun-2026,1,-,INE699H01024,-,-,19-Jun-2026,EQ,Dividend - Re 1 Per Share,AWL
-,-,,HDFC Bank Limited,19-Jun-2026,1,-,INE040A01018,-,-,19-Jun-2026,EQ,Dividend - Rs 13 Per Share,HDFCBANK
-,-,,Tata Communications Limited,19-Jun-2026,10,-,INE151A01013,-,-,19-Jun-2026,EQ,Dividend - Rs 17.50 Per Share,TATACOMM
-,-,,Hindustan Unilever Limited,23-Jun-2026,1,-,INE030A01027,-,-,23-Jun-2026,EQ,Dividend - Rs 22 Per Share,HINDUNILVR
-,-,,The Indian Hotels Company Limited,23-Jun-2026,1,-,INE053A01029,-,-,23-Jun-2026,EQ,Dividend - Rs 3.25 Per Share,INDHOTEL
-,-,,Thyrocare Technologies Limited,23-Jun-2026,10,-,INE594H01019,-,-,23-Jun-2026,EQ,Dividend - Rs 7 Per Share,THYROCARE
-,-,,Tata Power Company Limited,23-Jun-2026,1,-,INE245A01013,-,-,23-Jun-2026,EQ,Dividend - Rs 2.50 Per Share,TATAPOWER
-,-,,Dalmia Bharat Limited,23-Jun-2026,2,-,INE00R701025,-,-,23-Jun-2026,EQ,Dividend - Rs 5 Per Share,DALBHARAT
-,-,,Asian Paints Limited,23-Jun-2026,1,-,INE021A01018,-,-,23-Jun-2026,EQ,Dividend - Rs 23 Per Share,ASIANPAINT
-,-,,Wheels India Limited,24-Jun-2026,10,-,INE715A01015,-,-,24-Jun-2026,EQ,Dividend - Rs 9.14 Per Share,WHEELS
-,-,,Syngene International Limited,25-Jun-2026,10,-,INE398R01022,-,-,26-Jun-2026,EQ,Dividend - Rs 1.25 Per Share,SYNGENE
-,-,,Life Insurance Corporation Of India,25-Jun-2026,10,-,INE0J1Y01017,-,-,25-Jun-2026,EQ,Dividend - Rs 10 Per Share,LICI
-,-,,Dr. Lal Path Labs Ltd.,25-Jun-2026,10,-,INE600L01024,-,-,26-Jun-2026,EQ,Dividend - Rs 4 Per Share,LALPATHLAB
-,-,,Supreme Industries Limited,25-Jun-2026,2,-,INE195A01010,-,-,26-Jun-2026,EQ,Dividend - Rs 25 Per Share,SUPREMEIND
-,-,,Sona BLW Precision Forgings Limited,25-Jun-2026,10,-,INE073K01018,-,-,26-Jun-2026,EQ,Dividend - Rs 1.80 Per Share,SONACOMS
-,-,,S.J.S. Enterprises Limited,25-Jun-2026,10,-,INE284S01014,-,-,26-Jun-2026,EQ,Dividend - Rs 3.50 Per Share,SJS
-,-,,IndusInd Bank Limited,25-Jun-2026,10,-,INE095A01012,-,-,26-Jun-2026,EQ,Dividend - Rs 1.50 Per Share,INDUSINDBK
-,-,,CARE Ratings Limited,25-Jun-2026,10,-,INE752H01013,-,-,26-Jun-2026,EQ,Dividend - Rs 14 Per Share,CARERATING
-,-,,Shankara Buildpro Limited,25-Jun-2026,10,-,INE24OJ01011,-,-,25-Jun-2026,EQ,Dividend - Rs 5 Per Share,BUILDPRO
-,-,,Anthem Biosciences Limited,25-Jun-2026,2,-,INE0CZ201020,-,-,26-Jun-2026,EQ,Dividend - Rs 2 Per Share,ANTHEM
-,-,,Alkyl Amines Chemicals Limited,25-Jun-2026,2,-,INE150B01013,-,-,26-Jun-2026,EQ,Dividend - Rs 10 Per Share,ALKYLAMINE
-,-,,Nippon Life India Asset Management Limited,25-Jun-2026,10,-,INE298J01013,-,-,26-Jun-2026,EQ,Dividend - Rs 12.50 Per Share,NAM-INDIA
-,-,,Allied Blenders and Distillers Limited,25-Jun-2026,2,-,INE552Z01027,-,-,26-Jun-2026,EQ,Dividend - Rs 5.40 Per Share,ABDL
-,-,,Vaibhav Global Limited,25-Jun-2026,2,-,INE884A01019,-,-,26-Jun-2026,EQ,Dividend - Rs 1.50 Per Share,VAIBHAVGBL
-,-,,Jyothy Labs Limited,29-Jun-2026,1,-,INE668F01031,-,-,29-Jun-2026,EQ,Dividend - Rs 3.50 Per Share,JYOTHYLAB
-,-,,Bajaj Holdings & Investment Limited,30-Jun-2026,10,-,INE118A01012,-,-,30-Jun-2026,EQ,Dividend - Rs 130 Per Share,BAJAJHLDNG
-,-,,Bajaj Finserv Limited,30-Jun-2026,1,-,INE918I01018,-,-,30-Jun-2026,EQ,Dividend - Rs 1.50 Per Share,BAJAJFINSV
-,-,,Maharashtra Scooters Limited,30-Jun-2026,10,-,INE288A01013,-,-,30-Jun-2026,EQ,Dividend - Rs 60 Per Share,MAHSCOOTER
-,-,,Bajaj Finance Limited,30-Jun-2026,1,-,INE296A01016,-,-,30-Jun-2026,EQ,Dividend - Rs 6 Per Share,BAJFINANCE
-,-,,Akums Drugs and Pharmaceuticals Limited,03-Jul-2026,2,-,INE09XN01023,-,-,03-Jul-2026,EQ,Dividend - Re 1 Per Share/Special Dividend - Rs 2 Per Share,AKUMS
-,-,,Mahindra Lifespace Developers Limited,03-Jul-2026,10,-,INE813A01018,-,-,03-Jul-2026,EQ,Dividend - Rs 3.50 Per Share,MAHLIFE
-,-,,Thermax Limited,03-Jul-2026,2,-,INE152A01029,-,-,03-Jul-2026,EQ,Dividend - Rs 14 Per Share/Special Dividend - Rs 6 Per Share,THERMAX
-,-,,Tech Mahindra Limited,03-Jul-2026,5,-,INE669C01028,-,-,03-Jul-2026,EQ,Dividend - Rs 36 Per Share,TECHM
-,-,,Shriram Finance Limited,03-Jul-2026,2,-,INE721A01013,-,-,03-Jul-2026,EQ,Dividend - Rs 6 Per Share,SHRIRAMFIN
-,-,,Swaraj Engines Limited,03-Jul-2026,10,-,INE277A01016,-,-,03-Jul-2026,EQ,Dividend - Rs 110 Per Share,SWARAJENG
-,-,,SML Mahindra Limited,03-Jul-2026,10,-,INE294B01019,-,-,03-Jul-2026,EQ,Dividend - Rs 23.50 Per Share,SMLMAH
-,-,,Biocon Limited,03-Jul-2026,5,-,INE376G01013,-,-,03-Jul-2026,EQ,Dividend - Re 0.50 Per Share,BIOCON
-,-,,Exide Industries Limited,03-Jul-2026,1,-,INE302A01020,-,-,03-Jul-2026,EQ,Dividend - Rs 2 Per Share,EXIDEIND
-,-,,Sundaram Finance Limited,06-Jul-2026,10,-,INE660A01013,-,-,06-Jul-2026,EQ,Dividend - Rs 24 Per Share,SUNDARMFIN
-,-,,Cera Sanitaryware Limited,07-Jul-2026,5,-,INE739E01017,-,-,07-Jul-2026,EQ,Dividend - Rs 75 Per Share,CERA
-,-,,Mahindra Logistics Limited,10-Jul-2026,10,-,INE766P01016,-,-,10-Jul-2026,EQ,Dividend - Rs 2.50 Per Share,MAHLOG
-,-,,Axis Bank Limited,10-Jul-2026,2,-,INE238A01026,-,-,10-Jul-2026,EQ,Dividend - Re 1 Per Share,AXISBANK
-,-,,VST Industries Limited,10-Jul-2026,10,-,INE710A01016,-,-,10-Jul-2026,EQ,Dividend - Rs 12 Per Share,VSTIND
-,-,,Nestle India Limited,10-Jul-2026,1,-,INE239A01016,-,-,10-Jul-2026,EQ,Dividend - Rs 5 Per Share,NESTLEIND
-,-,,Welspun Living Limited,10-Jul-2026,1,-,INE192B01031,-,-,10-Jul-2026,EQ,Dividend - Re 0.10 Per Share,WELSPUNLIV
-,-,,Computer Age Management Services Limited,10-Jul-2026,2,-,INE596I01012,-,-,10-Jul-2026,EQ,Dividend - Rs 4 Per Share,CAMS
-,-,,Grindwell Norton Limited,10-Jul-2026,5,-,INE536A01023,-,-,10-Jul-2026,EQ,Dividend - Rs 19 Per Share,GRINDWELL
-,-,,BSE Limited,10-Jul-2026,2,-,INE118H01025,-,-,10-Jul-2026,EQ,Dividend - Rs 10 Per Share,BSE
-,-,,Mahindra & Mahindra Financial Services Limited,13-Jul-2026,2,-,INE774D01016,-,-,13-Jul-2026,EQ,Dividend - Rs 7.50 Per Share,M&MFIN
-,-,,Samvardhana Motherson International Limited,14-Jul-2026,1,-,INE775A01035,-,-,14-Jul-2026,EQ,Dividend - Rs 0.25 Per Share,MOTHERSON
-,-,,Supreme Petrochem Limited,14-Jul-2026,2,-,INE663A01025,-,-,14-Jul-2026,EQ,Dividend - Rs 8 Per Share,SPLPETRO
-,-,,Bharat Bijlee Limited,15-Jul-2026,5,-,INE464A01028,-,-,15-Jul-2026,EQ,Dividend - Rs 35 Per Share,BBL
-,-,,Heritage Foods Limited,15-Jul-2026,5,-,INE978A01019,-,-,15-Jul-2026,EQ,Dividend - Rs 2.50 Per Share,HERITGFOOD
-,-,,Craftsman Automation Limited,16-Jul-2026,5,-,INE00LO01017,-,-,16-Jul-2026,EQ,Dividend - Rs. 11.25 Per Share,CRAFTSMAN
-,-,,V-Mart Retail Limited,17-Jul-2026,10,-,INE665J01013,-,-,17-Jul-2026,EQ,Dividend - Re 1 Per Share,VMART
-,-,,3M India Limited,17-Jul-2026,10,-,INE470A01017,-,-,17-Jul-2026,EQ,Dividend - Rs 160 Per Share/Special Dividend - Rs 346 Per Share,3MINDIA
-,-,,LMW Limited,17-Jul-2026,10,-,INE269B01029,-,-,17-Jul-2026,EQ,Dividend - Rs 35 Per Share,LMW
-,-,,Bikaji Foods International Limited,17-Jul-2026,1,-,INE00E101023,-,-,17-Jul-2026,EQ,Dividend - Rs 1.25 Per Share,BIKAJI
-,-,,Blue Star Limited,17-Jul-2026,2,-,INE472A01039,-,-,17-Jul-2026,EQ,Dividend - Rs 8.50 Per Share,BLUESTARCO
-,-,,Atul Limited,17-Jul-2026,10,-,INE100A01010,-,-,17-Jul-2026,EQ,Dividend - Rs 30 Per Share,ATUL
-,-,,Safari Industries (India) Limited,17-Jul-2026,2,-,INE429E01023,-,-,17-Jul-2026,EQ,Dividend - Rs 2 Per Share,SAFARI
-,-,,Pfizer Limited,17-Jul-2026,10,-,INE182A01018,-,-,17-Jul-2026,EQ,Dividend - Rs 75 Per Share,PFIZER
-,-,,Narayana Hrudayalaya Ltd.,17-Jul-2026,10,-,INE410P01011,-,-,17-Jul-2026,EQ,Dividend - Rs 4.50 Per Share,NH
-,-,,Zydus Wellness Limited,17-Jul-2026,2,-,INE768C01010,-,-,17-Jul-2026,EQ,Dividend - Re 1.20 Per Share,ZYDUSWELL
-,-,,Newgen Software Technologies Limited,17-Jul-2026,10,-,INE619B01017,-,-,17-Jul-2026,EQ,Dividend - Rs 6 Per Share,NEWGEN
-,-,,Shriram Pistons & Rings Limited,20-Jul-2026,10,-,INE526E01018,-,-,20-Jul-2026,EQ,Dividend - Rs 5 Per Share,SHRIPISTON
-,-,,Pokarna Limited,20-Jul-2026,2,-,INE637C01017,-,-,20-Jul-2026,EQ,Dividend - Re 0.60 Per Share,POKARNA
-,-,,Nesco Limited,20-Jul-2026,2,-,INE317F01027,-,-,20-Jul-2026,EQ,Dividend - Rs 7 Per Share,NESCO
-,-,,Cholamandalam Investment and Finance Company Limited,21-Jul-2026,2,-,INE121A01016,-,-,21-Jul-2026,EQ,Dividend - Re 0.70 Per Share,CHOLAFIN
-,-,,Thangamayil Jewellery Limited,22-Jul-2026,10,-,INE085J01014,-,-,22-Jul-2026,EQ,Dividend - Rs 18 Per Share,THANGAMAYL
-,-,,Neuland Laboratories Limited,24-Jul-2026,10,-,INE794A01010,-,-,24-Jul-2026,EQ,Dividend - Rs 34 Per Share,NEULANDLAB
-,-,,NOCIL Limited,24-Jul-2026,10,-,INE163A01018,-,-,24-Jul-2026,EQ,Dividend - Rs 1.50 Per Share,NOCIL
-,-,,Zydus Lifesciences Limited,24-Jul-2026,1,-,INE010B01027,-,-,24-Jul-2026,EQ,Dividend - Re 1 Per Share,ZYDUSLIFE
-,-,,Crompton Greaves Consumer Electricals Limited,24-Jul-2026,2,-,INE299U01018,-,-,24-Jul-2026,EQ,Dividend - Rs 3 Per Share,CROMPTON
-,-,,Divi's Laboratories Limited,24-Jul-2026,2,-,INE361B01024,-,-,24-Jul-2026,EQ,Dividend - Rs 30 Per Share,DIVISLAB
-,-,,Hero MotoCorp Limited,24-Jul-2026,2,-,INE158A01026,-,-,24-Jul-2026,EQ,Dividend - Rs 75 Per Share,HEROMOTOCO
-,-,,Radico Khaitan Limited,24-Jul-2026,2,-,INE944F01028,-,-,24-Jul-2026,EQ,Dividend - Rs 9 Per Share,RADICO
-,-,,Intellect Design Arena Limited,24-Jul-2026,5,-,INE306R01017,-,-,24-Jul-2026,EQ,Dividend - Rs 4 Per Share/Special Dividend - Rs 3 Per Share,INTELLECT
-,-,,Jubilant Pharmova Limited,24-Jul-2026,1,-,INE700A01033,-,-,24-Jul-2026,EQ,Dividend - Rs 5 Per Share,JUBLPHARMA
-,-,,Godrej Properties Limited,28-Jul-2026,5,-,INE484J01019,-,-,28-Jul-2026,EQ,Dividend - Rs 10 Per Share,GODREJPROP
-,-,,BASF India Limited,30-Jul-2026,10,-,INE373A01013,-,-,30-Jul-2026,EQ,Dividend - Rs 25 Per Share,BASF
-,-,,Granules India Limited,30-Jul-2026,1,-,INE101D01012,-,-,30-Jul-2026,EQ,Dividend - Rs 1.75 Per Share,GRANULES
-,-,,Redtape Limited,31-Jul-2026,2,-,INE0LXT01019,-,-,31-Jul-2026,EQ,Dividend - Rs 2 Per Share,REDTAPE
-,-,,ASK Automotive Limited,31-Jul-2026,2,-,INE491J01022,-,-,31-Jul-2026,EQ,Dividend - Rs 1.85 Per Share,ASKAUTOLTD
-,-,,Five-Star Business Finance Limited,31-Jul-2026,1,-,INE128S01021,-,-,31-Jul-2026,EQ,Dividend - Rs 2 Per Share,FIVESTAR
-,-,,Britannia Industries Limited,31-Jul-2026,1,-,INE216A01014,-,-,31-Jul-2026,EQ,Dividend - Rs 90.50 Per Share,BRITANNIA
-,-,,Bombay Dyeing & Mfg Company Limited,31-Jul-2026,2,-,INE032A01015,-,-,31-Jul-2026,EQ,Dividend - Rs 0.40 Per Share,BOMDYEING
-,-,,Greenpanel Industries Limited,31-Jul-2026,1,-,INE08ZM01014,-,-,31-Jul-2026,EQ,Dividend - Re 0.50 Per Share,GREENPANEL
-,-,,Privi Speciality Chemicals Limited,31-Jul-2026,10,-,INE959A01019,-,-,31-Jul-2026,EQ,Dividend - Rs 10 Per Share,PRIVISCL
-,-,,Sumeet Industries Limited,12-Jun-2026,2,-,INE235C01010,-,-,12-Jun-2026,EQ,Rights 8:25 @ Premium Rs 9.86/-,SUMEETINDS
-,-,,Trent Limited,12-Jun-2026,1,-,INE849A01012,-,-,12-Jun-2026,EQ,Dividend - Rs 4 Per Share,TRENT
-,-,,Steel City Securities Limited,16-Jun-2026,10,-,INE395H01011,-,-,16-Jun-2026,EQ,Dividend - Re 1 Per Share,STEELCITY
-,-,,Krishana Phoschem Limited,17-Jun-2026,10,-,INE506W01012,-,-,17-Jun-2026,EQ,Dividend - Re 0.50 Per Share,KRISHANA
-,-,,Cyient Limited,17-Jun-2026,5,-,INE136B01020,-,-,17-Jun-2026,EQ,Buy Back,CYIENT
-,-,,Madhya Bharat Agro Products Limited,17-Jun-2026,10,-,INE900L01010,-,-,17-Jun-2026,EQ,Dividend - Re 0.50 Per Share,MBAPL
-,-,,Brigade Enterprises Limited,17-Jun-2026,10,-,INE791I01019,-,-,17-Jun-2026,EQ,Bonus 1:3,BRIGADE
-,-,,JSW Infrastructure Limited,18-Jun-2026,2,-,INE880J01026,-,-,18-Jun-2026,EQ,Dividend - Re 0.90 Per Share,JSWINFRA
-,-,,Capital Small Finance Bank Limited,18-Jun-2026,10,-,INE646H01017,-,-,18-Jun-2026,EQ,Dividend - Rs 5 Per Share,CAPITALSFB
-,-,,GOVERNMENT OF INDIA,18-Jun-2026,100,-,IN0020150051,-,-,18-Jun-2026,GS,Interest Payment,773GS2034
-,-,,CORONA Remedies Limited,19-Jun-2026,10,-,INE02ZQ01018,-,-,19-Jun-2026,EQ,Dividend - Rs 10 Per Share,CORONA
-,-,,Polycab India Limited,19-Jun-2026,10,-,INE455K01017,-,-,19-Jun-2026,EQ,Dividend - Rs 47 Per Share,POLYCAB
-,-,,GHCL Textiles Limited,19-Jun-2026,2,-,INE0PA801013,-,-,20-Jun-2026,EQ,Dividend - Re 0.60 Per Share,GHCLTEXTIL
-,-,,Sanofi Consumer Healthcare India Limited,19-Jun-2026,10,-,INE0UOS01011,-,-,19-Jun-2026,EQ,Dividend - Rs 75 Per Share,SANOFICONR
-,-,,India Shelter Finance Corporation Limited,19-Jun-2026,5,-,INE922K01024,-,-,19-Jun-2026,EQ,Dividend - Rs 10 Per Share,INDIASHLTR
-,-,,Torrent Power Limited,19-Jun-2026,10,-,INE813H01021,-,-,19-Jun-2026,EQ,Dividend - Rs 5 Per Share,TORNTPOWER
-,-,,GOVERNMENT OF INDIA,19-Jun-2026,100,-,IN0020150044,-,-,19-Jun-2026,GS,Interest Payment,813GS2045
-,-,,Deepak Builders & Engineers India Limited,19-Jun-2026,1,-,INE0OPA01019,-,-,19-Jun-2026,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,DBEIL
-,-,,Sangam (India) Limited,22-Jun-2026,10,-,INE495C01010,-,-,22-Jun-2026,EQ,Dividend - Rs 2 Per Share,SANGAMIND
-,-,,GOVERNMENT OF INDIA,22-Jun-2026,100,-,IN0020130079,-,-,22-Jun-2026,GS,Interest Payment,923GS2043
-,-,,GNA Axles Limited,23-Jun-2026,10,-,INE934S01014,-,-,23-Jun-2026,EQ,Dividend - Rs 3 Per Share,GNA
-,-,,Anand Rathi Share and Stock Brokers Limited,23-Jun-2026,5,-,INE549H01021,-,-,23-Jun-2026,EQ,Dividend - Rs 5 Per Share,ARSSBL
-,-,,Kotyark Industries Limited,24-Jun-2026,10,-,INE0J0B01017,-,-,24-Jun-2026,EQ,Bonus 10:1,KOTYARK
-,-,,Shankara Buildpro Limited,24-Jun-2026,10,-,INE24OJ01011,-,-,24-Jun-2026,EQ,Dividend - Rs 5 Per Share,BUILDPRO
-,-,,ZF Commercial Vehicle Control Systems India Limited,24-Jun-2026,5,-,INE342J01019,-,-,24-Jun-2026,EQ,Bonus 5:1,ZFCVINDIA
-,-,,Bajaj Auto Limited,24-Jun-2026,10,-,INE917I01010,-,-,24-Jun-2026,EQ,Buy Back,BAJAJ-AUTO
-,-,,GOVERNMENT OF INDIA,25-Jun-2026,100,-,IN0020160118,-,-,25-Jun-2026,GS,Interest Payment,679GS2029
-,-,,GIC Housing Finance Limited,25-Jun-2026,10,-,INE289B01019,-,-,26-Jun-2026,EQ,Dividend - Rs 4.50 Per Share,GICHSGFIN
-,-,,Mawana Sugars Limited,25-Jun-2026,10,-,INE636A01039,-,-,27-Jun-2026,EQ,Dividend - Rs 4 Per Share,MAWANASUG
-,-,,Visaka Industries Limited,25-Jun-2026,2,-,INE392A01013,-,-,26-Jun-2026,EQ,Dividend - Rs 1.20 Per Share,VISAKAIND
